collocate,raw_frequency,MI
remedied,1,7.071887086075216
gallantry,2,5.676703777538079
prodigious,2,5.447115773445286
marshal,2,6.819423892590437
boufflers,5,10.218327695265492
actually,2,3.5829264663724163
tears,1,1.9484862490210642
rage,1,3.411995168834532
warrior,2,5.052113624664601
dash,1,4.52355860984972
mouth,1,2.130374861948403
curse,2,4.4185844142286435
gazette,1,5.281277703230398
mareschal,7,10.263687324338136
defended,1,5.293253894277114
chief,6,4.503266735078553
cheer,1,4.04107538338707
hall,1,1.7880221771502953
generosity,3,5.167649633420471
weaknesses,1,5.462449173641115
c,1,3.5473223388447606
whispers,2,5.461300408437242
castlewood,2,3.3271339670681592
venus,5,6.597296292822574
bad,2,2.416020273818381
french,3,3.167613239798038
boyish,1,4.635770600456647
voice,8,2.8718153882164885
anxious,1,2.4044130167509694
ill,1,1.7719503417722215
used,1,1.484723300559422
handsomest,3,6.617605750071808
vainest,6,9.887535297775445
health,1,2.6391290964813914
get,9,2.848107419321551
deserves,1,5.058134151916188
conqueror,3,6.34135237344365
justest,7,10.95683450489808
twas,1,3.914153258218228
desperately,1,4.649499469046745
sacrifice,3,4.458077394422255
thirty,2,3.6911353955733497
thousand,2,2.835434510069689
mor,1,7.768488501503248
remarkable,1,3.3705851119627224
furious,3,5.231311388951918
assailants,2,7.001745449384391
took,4,1.9859272835398682
sc,2,9.304330542378437
ery,4,11.096090011606492
twenty,4,3.3231511984902156
soldiers,1,3.405634440550152
round,1,0.6271540176057283
passing,1,2.525557400110058
between,8,2.9057126841999734
grace,1,2.6709597407390104
nephew,2,3.9536211741062433
berwick,1,6.37873990551527
opp,5,11.315795164117668
affair,5,4.329449736932611
irishman,1,5.7219603691262
wore,2,3.3989686943238664
sword,3,3.8898728545111734
mire,2,5.996223583782293
fi,1,9.018947321513766
beatrix,1,3.858741935916
colonel,2,2.704086783251333
guardian,1,3.0077563024496117
noblest,1,4.908073457340455
benefactors,2,7.184067006178346
people,1,0.5642195273805184
doors,2,3.385689797181219
huzza,1,7.313049142892104
gouty,6,7.88605529756532
blind,1,2.934447908438595
pop,2,6.665273212763178
ancestors,1,4.490588590612149
crime,5,5.119351036323148
suffered,2,3.6802080404668143
unfortunate,1,3.6140202199074714
friends,1,1.4435078517787565
mention,2,3.7423676812068605
bishop,1,2.64052113786218
beyond,1,1.8182180419430707
found,1,0.710987967106248
aid,3,4.462719209967065
kindest,2,5.473071897987816
sign,7,4.466110970395573
breast,1,2.515407931239362
art,2,2.8218963641740333
touched,4,3.8076047179170103
waiting,7,4.019035104567567
humiliation,5,5.954502998408244
ten,5,3.447540898597056
perhaps,1,0.6675396087554177
treated,2,3.8645056406327503
stuck,6,5.430865120105796
harley,1,2.8003472018220372
fall,1,2.1503971056347613
gallantly,1,5.256597119436966
danger,4,3.9840966681032772
fought,9,5.743166563621432
malplaquet,2,8.1003577380525
fears,1,3.6483092933861037
