collocate,raw_frequency,MI
stream,4,4.054789849849723
rolling,1,3.3714226983434163
dam,1,5.205848613890375
obstinacy,1,4.369600589689756
recognise,1,4.004957476101847
flame,5,4.626645692679647
candle,11,5.117556006744696
silently,2,3.774433817490014
slinking,1,6.489864125889847
somehow,3,3.3904393937787267
battle,3,3.493206354814913
otherwise,1,2.3609392300709673
meet,4,2.9353100303016095
thought,21,2.714084167372765
pale,3,2.702732695355379
glimmer,2,5.382035182116813
sufficient,2,3.76346478611944
disperse,1,5.7693179711417875
don,11,2.0262344609002967
t,50,2.5719283664629073
believe,17,3.6539631242357387
they,45,2.3387201921636636
ve,7,2.4444667499819244
mounted,1,3.1797267097433215
gun,2,3.9820731822682585
fort,1,3.8005060577997893
blame,1,2.9218976004412216
haven,3,3.362454028360656
reproach,3,4.50503856058486
yourself,5,2.850184361022432
darling,1,2.1317318114154014
yes,7,2.108699999831824
talk,4,2.162242346638731
picture,2,2.7382282909692526
success,2,3.171645857689383
draws,1,4.765115366944753
attention,3,3.1289744677157842
background,1,3.7138091956735795
worked,1,2.6612227294007518
spared,2,4.486134405945707
detail,3,4.822856361634269
send,1,1.8692581317719161
raging,1,4.869376377269162
bezieres,1,9.380235883786012
landes,1,9.380235883786012
railway,1,3.116837621194388
track,2,4.026010885299678
tourgas,1,9.380235883786012
prussians,1,7.588476414557957
shelled,1,7.300794342106175
year,8,3.349550623524748
means,2,2.205511573949635
gilded,1,4.707407049324106
luxury,1,3.575100914869523
bess,1,5.25310149874092
explained,1,2.636176697474664
things,6,1.982980767752636
tersely,1,7.300794342106175
port,1,3.491357925453131
first,10,2.1879033473055727
cabin,2,4.366272799597081
baggage,1,4.609551259320347
supposed,3,3.357614395787284
stolen,1,3.903772331854501
whole,14,3.517416726096926
lighter,1,3.8547829446542274
full,2,1.5190867849782173
silver,1,1.9483439669782114
enough,8,2.4400134146663732
grow,1,2.6338237552126373
blade,3,5.098950818913662
grass,2,2.864782726385758
bullock,1,5.946248679300865
drowned,3,4.833401274810884
passenger,4,6.004356310108146
name,7,2.52137077397364
o,2,1.3797187298139404
yells,1,5.979038502123856
intervals,1,3.5166047081879146
shots,2,5.419422714188434
rang,2,3.7103549608054918
feebly,1,4.250337168862938
low,6,3.018357866628784
ears,1,2.179810990841055
fiery,1,3.98660833743365
air,3,2.05114214753942
figures,4,4.369600589689756
foot,3,2.7863659265674072
raced,1,5.85387535916985
desperately,1,4.3176408507590445
horsemen,1,4.937584627295695
galloped,2,5.596046249867751
horned,1,6.244741667856862
heads,1,2.3983012066296228
wavering,1,4.7750656977979204
line,8,4.030030643248245
sheer,1,3.738328812847898
mountain,4,4.015428775969142
torches,1,4.869376377269162
drops,2,4.343283281372383
fire,5,2.7490249328451997
fallen,1,2.224059246305396
escapes,1,5.642566265502643
capture,1,4.698104656661792
used,3,2.2445485367578675
ride,1,2.6528041589351563
villages,1,4.44576195065532
husband,2,1.7415560599098994
quick,3,3.0985923840276612
upward,1,3.891298157629325
watch,2,2.5332927442006317
taking,5,3.008282214640042
get,5,1.9376260032385226
introduction,1,4.112377724722683
heard,6,2.1132921557008437
followed,7,3.4544533685176795
finishing,1,4.520423479424339
bluish,1,5.530088282075953
cloud,4,4.079421637039387
flow,1,3.724244072966159
started,2,2.78309018189936
re,2,1.5326686778883736
opened,3,2.4704826021412014
scar,1,5.117556006744696
porvenir,1,6.815286526324475
offices,1,4.023649609113999
folded,2,3.6814659509533545
martin,1,2.937695717317813
journalism,1,6.547022539729795
issued,2,4.979632863539194
obliquely,1,6.435796904619571
clear,5,2.9723662885315307
