nodeA,nodeB,weight
Job Leyson,Vaughan,48
Vaughan,William,36
Beatrice Vaughan,Vaughan,24
Giudice,Vaughan,12
Cherwell,Vaughan,12
Aston Common,Vaughan,12
Inn,Vaughan,24
Ned,Vaughan,24
Eton,Vaughan,12
Saxon,Vaughan,24
Norman,Vaughan,24
Alpine,Vaughan,12
Englishman,Vaughan,36
Briton,Vaughan,48
Robinson Crusoe,Vaughan,12
Cape Turn-again,Vaughan,12
Barking Reach,Vaughan,24
Green,Vaughan,96
Vaughan,Woolwich,12
Adelaide Green,Vaughan,12
Jove,Vaughan,12
Peter Green,Vaughan,168
Peter,Vaughan,24
Altiora,Vaughan,12
Adelantado,Vaughan,12
Genoese,Vaughan,24
Corsica,Vaughan,24
Rousseau,Vaughan,12
Theodore,Vaughan,12
Neuhoff,Vaughan,12
Ray,Vaughan,12
Balagna,Vaughan,72
Vaughan,Weak,12
God Creator,Vaughan,12
Nebbio,Vaughan,12
Seneca,Vaughan,12
Vaughan,Virgil,12
Speloncato,Vaughan,12
Signor Dezio Della Croce,Vaughan,36
Cinarchesi,Vaughan,12
Madonna,Vaughan,84
Laurence Daldy,Vaughan,36
Guardsman,Vaughan,12
D'Aldis,Vaughan,12
Della Croce,Vaughan,24
Lily,Vaughan,1176
Child Clara,Vaughan,12
Fiordalisa,Vaughan,96
Signor Dezio,Vaughan,96
Lepardo Della Croce,Vaughan,132
Spalla,Vaughan,12
Sampiero,Vaughan,24
Signor Vogheno,Vaughan,24
Lepardo,Vaughan,312
Signor Valentine Vogheno,Vaughan,12
Gloisterio,Vaughan,24
Signor Valentino,Vaughan,12
De Gentili,Vaughan,12
Clara - how,Vaughan,12
Cassandra,Vaughan,24
Alps,Vaughan,12
Signor Dezio's,Vaughan,12
Fiordalisa Della Croce,Vaughan,48
Marseilles,Vaughan,24
Lily Vaughan,Vaughan,36
Edgar Malins,Vaughan,12
Girolata,Vaughan,36
Henry,Vaughan,60
Henry Vaughan,Vaughan,12
Harry,Vaughan,228
Vaughan,Vescovato,12
Highland,Vaughan,12
Corte,Vaughan,12
Cape Bevellata,Vaughan,12
Luri,Vaughan,12
Sbirri,Vaughan,12
Marana,Vaughan,12
Calvi,Vaughan,12
Dead,Vaughan,12
Calmly,Vaughan,12
Valentine Vaughan,Vaughan,12
Signor Valentine,Vaughan,36
Point Girolata,Vaughan,12
Asinara,Vaughan,12
Alghero,Vaughan,12
Naples,Vaughan,12
Bradshaw,Vaughan,12
Count Gaffori,Vaughan,48
Vaughan,Vogheni,12
Barbary,Vaughan,12
England Lepardo Della Croce,Vaughan,12
George Jenkins,Vaughan,12
Vaughan,Weirs,12
Edmund Burke,Vaughan,12
Signora,Vaughan,12
Jonathan Wild,Vaughan,12
Uncle,Vaughan,864
Genoa,Vaughan,12
Vaughan,William Desborough,12
Sam Richardson,Vaughan,36
Arthur,Vaughan,12
Devonshire,Vaughan,12
Miss Bowden's,Vaughan,12
"Clara"" - she",Vaughan,12
