nodeA,nodeB,weight
Helen Rathbone's,Susan,30
Josiah Wedgwood,Susan,30
Helen,Susan,3840
Prockter,Susan,4320
Helen Rathbone,Susan,60
Bratt,Susan,210
Glasgow,Susan,360
Moorthorne,Susan,60
Avert,Susan,30
Emanuel Prockter,Susan,810
Prockter  ,Susan,30
James Ollerenshaw's,Susan,90
Susan,Trafalgar,180
Nos,Susan,30
Beau Brummel,Susan,30
Susan,Whitaker,30
Butt,Susan,1080
Susan,Uncle,150
Mester Ollerenshaw,Susan,30
Susan,Susan - an afternoon,30
Prockter - a,Susan,30
George Frederick Handel,Susan,30
Robin Adair,Susan,30
Susan,Yorkshire,150
Confucius,Susan,30
Susan,Uncle James,210
Shakespearean,Susan,30
Sarah Swetnam,Susan,450
Susan,Swetnam,150
Sally,Susan,240
Sarah,Susan,900
Brunt,Susan,150
Lilian,Susan,60
Andrew Dean,Susan,1080
Nell,Susan,30
Jane,Susan,30
Jimmy,Susan,480
Dean,Susan,300
Churchman,Susan,30
Emanuel,Susan,180
Georgiana,Susan,600
Jarndyce,Susan,150
Kiel,Susan,30
Flora Prockter,Susan,30
Flora,Susan,30
Susan,Ted,30
Ronald,Susan,30
Ronald Swetnam,Susan,30
Jos,Susan,90
Jos Swetman,Susan,30
Jos Swetnam,Susan,90
Emanuel Prockter's,Susan,30
Joe,Susan,30
Benskin,Susan,60
Andrew,Susan,300
Susan,Wilbrahams,120
Carey,Susan,30
Oldcastle,Susan,30
Miser,Susan,30
Susan,Ye,30
Machiavelli,Susan,30
Hanbridge,Susan,30
Crewe,Susan,120
Bass,Susan,30
Helen - she,Susan,30
Edinburgh,Susan,30
Susan,Welsh,30
Hurrah,Susan,30
Crump,Susan,180
Ezra Brunt,Susan,30
Hall,Susan,60
Emanuel Prockter - I,Susan,30
Susan,Ye'll,30
Light,Susan,30
Glad,Susan,30
Paisley,Susan,30
Susan,Swetnams,30
Joshua,Susan,30
Mont Blanc,Susan,30
Don Juan,Susan,30
Norseman,Susan,30
Buchanan,Susan,60
Derby,Susan,30
Bechstein,Susan,30
Susan,Wiltshire,90
Hush,Susan,30
Nottingham,Susan,30
Lilian Swetnam,Susan,30
Fritz,Susan,90
